_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
694f33e4783db59f5958830d,,106.47,94.08,121.68,86.11,133;5;1;2,time,15,,0,14.99,0,0,false,false,english,,normal,false,false,false,,1766798294242
69352de0dd1047f20551c39e,,89.62,95.9,97.62,77.17,112;2;1;0,time,15,-1,8,15,0,14.59,false,false,english,,normal,false,false,false,,1765092832000
692be23d097f65b36b153b18,,115.18,100,115.18,86.39,144;0;0;0,time,15,-1,8,15,0,17.43,false,false,english,,normal,false,false,false,,1764483645000
692b7324097f65b36b126af7,,105.58,96.53,115.18,89.38,132;3;0;0,time,15,-1,2,15,0,7.4,false,false,english,,normal,false,false,false,,1764455204000
691a408473393afa8b8ecc2c,,100.79,96.38,110.39,90.12,126;3;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1763328132000
6919261573393afa8b852154,,107.93,89.51,129.52,89.2,135;12;1;0,time,15,-1,2,15.01,0,4.51,false,false,english,,normal,false,false,false,,1763255829000
6919241a73393afa8b85161d,,117.57,100,117.57,83.67,147;0;0;0,time,15,-1,9,15,0,35.69,false,false,english,,normal,false,false,false,,1763255322000
691750c273393afa8b74cb28,,99.19,97.06,108.79,83.66,124;2;0;2,time,15,-1,5,15,0,11.39,false,false,english,,normal,false,false,false,,1763135682000
6917466273393afa8b741f5b,,111.18,97.24,115.98,89.54,139;2;1;0,time,15,-1,1,15,0,0.97,false,false,english,,normal,false,false,false,,1763133026000
6916b54073393afa8b6de9b0,,109.59,94.12,122.39,86.51,137;6;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1763095872000
6916b52f73393afa8b6de924,,99.94,92.75,109.54,82.16,125;6;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1763095855000
6915871273393afa8b60449e,,108.78,95.17,115.98,85.53,136;6;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1763018514000
6914cd2e73393afa8b5929b4,,104.74,96.55,115.93,88.88,131;1;1;1,time,15,-1,13,15.01,0,38.65,false,false,english,,normal,false,false,false,,1762970926000
69100f873ba5c3033748f533,,107.93,94.48,115.93,86.04,135;6;0;1,time,15,-1,6,15.01,0,17.87,false,false,english,,normal,false,false,false,,1762660231000
6909690f3ba5c303370851dc,,98.34,94.93,110.34,87.32,123;3;1;0,time,15,-1,6,15.01,0,19.22,false,false,english,,normal,false,false,false,,1762224399000
69065ab93ba5c30337ee2ded,,118.38,98.1,126.38,87.57,148;1;1;0,time,15,-1,3,15,0,6.15,false,false,english,,normal,false,false,false,,1762024121000
6905486d3ba5c30337e63e32,,89.59,96.77,99.19,84.4,112;3;0;0,time,15,-1,12,15,0,43.38,false,false,english,,normal,false,false,false,,1761953901000
690422678ad5feaf6815a62e,,107.18,99.26,107.18,90.93,134;0;0;0,time,15,-1,2,15,0,7.7,false,false,english,,normal,false,false,false,,1761878631000
69024a028ad5feaf68030d12,,94.4,92.75,110.4,83.54,118;7;0;1,time,15,-1,6,15,0,12.5,false,false,english,,normal,false,false,false,,1761757698000
6901aaec8ad5feaf68fbad8d,,103.2,98.54,109.6,93.23,129;1;0;0,time,15,-1,4,15,0,10.69,false,false,english,,normal,false,false,false,,1761716972000
6901a8308ad5feaf68fb9776,,93.58,96.15,103.98,83.86,117;3;0;0,time,15,-1,1,15,0,1.73,false,false,english,,normal,false,false,false,,1761716272000
690107b38ad5feaf68f62124,,117.58,100,117.58,84.55,147;0;0;0,time,15,-1,3,15,0,9.46,false,false,english,,normal,false,false,false,,1761675187000
68ffa03c58e46f71a965c910,,95.99,93.62,112.79,89.15,120;4;2;0,time,15,-1,1,15,0,3.89,false,false,english,,normal,false,false,false,,1761583164000
68ff99ac58e46f71a96561f9,,115.18,100,115.18,90.08,144;0;0;0,time,15,-1,3,15,0,18.71,false,false,english,,normal,false,false,false,,1761581484000
68fe78e858e46f71a95b03d2,,104.79,95.14,115.19,84.41,131;4;0;1,time,15,-1,1,15,0,6.93,false,false,english,,normal,false,false,false,,1761507560000
68f6a04658e46f71a91325b3,,97.8,94.95,110.4,82.17,489;14;1;3,time,60,-1,1,60,0,1.42,false,false,english,,normal,false,false,false,,1760993350000
68f69ff558e46f71a91322c6,,111.99,98.62,115.99,87.66,140;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1760993269000
68f69fe458e46f71a9132214,,90.4,90.07,109.6,75.49,113;6;0;1,time,15,-1,4,15,0,17.87,false,false,english,,normal,false,false,false,,1760993252000
68f69fbf58e46f71a913209f,,109.59,96.62,118.38,91.84,137;3;0;1,time,15,-1,16,15,0,54.94,false,false,english,,normal,false,false,false,,1760993215000
68f69f6858e46f71a9131d7e,,104.8,93.01,112.8,80.9,131;7;0;2,time,15,-1,8,15,0,29.98,false,false,english,,normal,false,false,false,,1760993128000
68f69f2c58e46f71a9131b56,,115.98,97.97,118.38,86.22,145;2;0;1,time,15,-1,8,15,0,28.24,false,false,english,,normal,false,false,false,,1760993068000
68e35b75c2c5004cd4c8c4dd,,103.98,93.71,113.58,74.92,130;5;1;0,time,15,-1,7,15,0,17.5,false,false,english,,normal,false,false,false,,1759730549000
68e34221c2c5004cd4c80d0c,,101.55,92.57,116.74,84.36,127;5;1;0,time,15,-1,31,15.01,0,104.35,false,false,english,,normal,false,false,false,,1759724065000
